Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Albany YW Compost Facility,One Richard J. Connors Blvd.,,Albany,NY,12204,Albany,4,,City Of Albany Dept of General Services,Municipal,Composting - yard waste - permit,[01Y02],Yes,603760,4725329,1 - No accuracy stated,Yard Waste,4-0101-00188/00003,06/25/2007,06/27/2027,
Arcade Composting,7589 Hurdville Rd.,,Arcade,NY,14009,Wyoming,9,5854921111,Village of Arcade,Municipal,Composting/other processing - biosolids/other,[61C03],Yes,218718,4714797,4.3 - Utilization of Digital Orthophoto Quads,,9.562E+14,10/18/2016,10/17/2026,"7589 Hurdville Rd.
Arcade, NY 14009
(42.535697, -78.45811)"
Ben Weitsman of Ithaca,105 Cherry Street,,Ithaca,NY,14850,Tompkins,7,6072731222,William Reamer,Private,VDF - large - registration,[55V50001],Yes,375461,4699505,,,55V50001,06/28/2018,06/28/2023,"105 Cherry Street
Ithaca, NY 14850
(42.437685, -76.515587)"
Biomass Recycling,9831 NYS Route 23,,Davenport,NY,13820,Delaware,4,6074340074,Michael Scarimbolo,Private,C&D processing - registration,[13W13],Yes,504341,4698583,,Wood (Clean);Wood (Chips),13W13,,,
Casings; Inc. - Deyo Warehouse,Route 9W; PO Box 731,,Catskill,NY,12414-0731,Greene,4,5189439404,Casings; Inc.,Private,Waste tire storage - permit,[20K01],Yes,591624,4673841,,Waste Tires,4-1926-00108/00003,03/30/2010,08/31/2020,
Cheever Pit (Reale) LCD LF,NYS Route 9N,Mile Marker 1228,Moriah,NY,12960,Essex,5,5185856782,Anthony Reale,Private,Landfill - land clearing debris,[16D13],Yes,623349,4857770,1 - No accuracy stated,,16D13,05/18/2011,,
Clayton LCD,41591 County Route 4,,Clayton,NY,13624,Jefferson,6,3156862557,Town of Clayton,Municipal,Landfill - land clearing debris,[23D25],Yes,407318,4893710,,Land Clearing Debris,23D25,09/01/2004,,
Conquest TS (T),Bush Hill Road,,Port Byron,NY,13140,Cayuga,7,3157764539,Town of Conquest,Municipal,RHRF - 5 tpd or less - registration,[06R10009],Yes,367707,4774755,,Single Stream;Commingled Containers;Commingled Paper,,,,
Delaware County SWMF,32230 NYS Route 10,,Walton,NY,13856,Delaware,4,6077462128,Delaware County,County,Landfill - C&DD - permit,[13D01],Yes,495542,4667569,1.1 - Obtained from original submission and unverified process,Construction & Demolition Debris,4-1256-00040/00004,07/22/2019,06/01/2024,
Elite Auto Parts Inc,120 Albany Ave,,Lindenhurst,NY,11757,Suffolk,1,6312261003,Elite Auto Parts Inc,Private,VDF - large - registration,[52V50297],Yes,636387,4504985,,End of Life Vehicles,52V50297,01/22/2020,01/21/2025,"120 Albany Ave
Lindenhurst, NY 11757
(40.684468, -73.386364)"
Essex-Willsboro Transfer Station,Route 22,,Essex,NY,12936,Essex,5,5189634287,Essex County,Municipal,Transfer station - registration,[16R40],Yes,629430,4907123,,MSW (Residential/Institutional & Commercial),16R40,,,
FDA Labs,158-15 Liberty Ave,,Jamaica,NY,11433,Queens,2,7183407178,,,RMW - permit,[41JP0123],Yes,601443,4506214,1 - No accuracy stated,Regulated Medical Waste,2-6307-00405-3,02/04/2020,02/03/2025,"158-15 Liberty Ave
Jamaica, NY 11433
(40.699828, -73.798592)"
Gary's U-Pull It Inc,230 Colesville Road,,Binghamton,NY,13904,Broome,7,6077752934,Fenix Parts; Inc.,Private,VDF - large - registration,[04V50021],Yes,432028,4662259,,End of Life Vehicles,04V50021,02/21/2019,02/20/2024,"230 Colesville Road
Binghamton, NY 13904
(42.109742, -75.822248)"
George Mulyca,2387 Mariaville Road,,Schenectady,NY,12306,Schenectady,4,5182650189,Carolyn LaHart & Marilyn Peterson,,Land application - septage - registration,[47A42805],Yes,479077,4742684,,Septage,47A42805,04/01/2019,04/01/2024,"2387 Mariaville Road
Schenectady, NY 12306
(42.818151, -74.028636)"
Green Ridge RDF,424 Peters Road,,Gansevoort,NY,12831,Saratoga,5,5186362141,Finch Waste Co LLC,Private,Landfill - MSW - permit,[46LS0025],Yes,613263,4784286,,,5-4146-00018/00010,03/22/2021,03/21/2031,"424 Peters Road
Gansevoort, NY 12831
(43.190283, -73.588493)"
Hooper's Tire Outlet,17 Alexander Street,,Rochester,NY,14620,Monroe,8,5857734335,Daniel Hooper,Private,Waste tire storage - Dealer,[28K11],Yes,287940,4780359,4 - GIS Assisted,Tire,28K11,12/01/2016,,
Hounsfield Land Clearing Landfill,Fawdrey Road,,Sackets Harbor,NY,13685,Jefferson,6,3157826380,Town of Hounsfield,Municipal,Landfill - land clearing debris,[23D21],Yes,413460,4863051,4.1 - Address Matching,,23D21,01/17/1995,,
Inlet Recyclables Recovery Facility,Limekiln Road,County Route 14,Inlet,NY,13360,Hamilton,5,3153573867,Town of Inlet,Municipal,RHRF - registration,[21R03],Yes,517259,4842534,,,21R03,,,
Junebug Holdings LLC,Route 19,,Scio,NY,14895,Allegany,9,5855936177,,,C&D processing - registration,[02W02],Yes,254050,4672659,,,02W02,09/03/2015,,
L&R Landscaping LCD Lf,Fuller Road,,Peru,NY,12972,Clinton,5,5185614467,Todd Deyo,Private,Landfill - land clearing debris,[10D12],Yes,621410,4934618,1 - No accuracy stated,Land Clearing Debris,10D12,10/13/1999,,
Lockwood Ash Disp Site,Swarthout Road,,Dresden,NY,14441,Yates,8,,GMMM Lockwood LLC,Private,Landfill - industrial waste monofill - permit,[62N01],Yes,339524,4726685,,,8-5736-00005/00003,09/05/2008,09/04/2018,
Lowman Drop-off Center,1488 County Rte 60,,Lowman,NY,14861,Chemung,8,8002273552,Chemung County,County,RHRF - 5 tpd or less - registration,[08R10012],Yes,360714,4654334,4.1 - Address Matching,Single Stream,08R10012,03/27/2020,03/26/2025,
McGinnis Property Facility,8394 Lake Road,,LeRoy,NY,14482,Genesee,8,5857686769,Thomas W. McGinnis,Private,CDDHRF - concrete rock brick - registration,[19W03],Yes,257181,4765901,,,,,,"8394 Lake Road
LeRoy, NY 14482
(43.006745, -77.97883)"
Michael Bigg Jr Inc,2375 Route 32 P.O. Box 181,,Vails Gate,NY,12584,Orange,3,8455349055,Michael Bigg Jr.,Private,VDF - small - registration,[36V20001],Yes,578731,4588999,,End of Life Vehicles,36V20001,10/01/2019,10/01/2024,
